step,truth_x,truth_y,truth_vx,truth_vy,meas_x,meas_y,est_x,est_y,est_vx,est_vy
0,-0.005023,0.081543,0.547386,0.436845,-0.463437,0.019470,-0.452245,0.019000,-0.044768,0.001881
1,-0.151381,0.075947,0.586644,0.343927,-0.111465,-0.003811,-0.255316,0.005771,0.540123,-0.037080
2,-0.090495,0.067561,0.533462,0.332179,0.020545,-0.316427,-0.077661,-0.175441,1.029444,-0.739562
3,-0.022902,0.097314,0.646896,0.321704,-0.285463,1.053699,-0.145878,0.468358,0.414820,1.837821
4,-0.160884,0.241426,0.724816,0.211595,0.404230,0.427986,0.160618,0.535347,1.221796,1.482182
5,-0.127050,0.146709,0.781427,0.141149,-0.816020,-0.029850,-0.246113,0.340167,-0.148072,0.592785
6,-0.095054,0.167489,0.763798,0.261239,0.254146,0.081675,-0.033404,0.259079,0.361496,0.278407
7,-0.109393,0.312476,0.842351,0.526840,0.022350,1.133361,0.010704,0.630544,0.377188,0.955921
8,0.020924,0.373752,0.691356,0.598990,-0.400786,0.117089,-0.120008,0.497774,0.079933,0.552897
9,0.085706,0.406121,0.535049,0.519427,0.550998,0.745005,0.119045,0.619955,0.450520,0.660181
10,0.209055,0.475424,0.601277,0.543539,0.124952,1.057808,0.151331,0.807231,0.431654,0.839392
11,0.244608,0.452811,0.722495,0.666889,-0.542470,0.771788,-0.031920,0.854492,0.119329,0.788798
12,0.112415,0.626448,0.629118,0.745309,-0.195023,0.792894,-0.070987,0.892441,0.052889,0.735476
13,0.037255,0.672898,0.623137,0.841427,0.934396,0.963243,0.212430,0.965225,0.398783,0.734526
14,0.129334,0.654229,0.481277,0.860461,0.197211,0.958274,0.237594,1.017205,0.381143,0.708785
15,0.247960,0.776368,0.334580,0.949723,0.195331,0.298695,0.254976,0.884474,0.356979,0.471472
16,0.239941,0.731466,0.300172,1.024802,0.076129,0.300667,0.236941,0.773597,0.295643,0.291090
17,0.244140,0.880042,0.165233,0.922895,0.307646,0.255320,0.276559,0.668935,0.306952,0.140629
18,0.455175,0.956998,0.074535,0.841159,0.213614,0.672083,0.284826,0.680384,0.281974,0.137717
19,0.253468,1.167488,0.072986,0.838422,0.662405,0.640185,0.395358,0.681437,0.373110,0.123639
20,0.184934,1.297071,0.066548,0.872912,0.144891,1.176381,0.365717,0.806074,0.299249,0.247498
21,0.334941,1.490942,-0.183328,1.020945,1.414305,2.106831,0.630288,1.124749,0.557739,0.571290
22,0.295176,1.524117,-0.110544,0.959038,0.473255,1.513177,0.637412,1.257617,0.504153,0.654711
23,0.405926,1.581075,-0.154824,0.996861,1.372846,1.621560,0.843555,1.390941,0.675780,0.729492
24,0.348798,1.766511,-0.083012,0.901713,0.080718,2.314776,0.723118,1.656539,0.468366,0.942019
25,0.383298,1.609713,-0.034814,0.994359,-0.035492,1.948306,0.588116,1.795344,0.267540,0.991279
26,0.567049,1.748786,-0.097375,0.942113,0.573566,1.937671,0.605563,1.904205,0.257251,1.002040
27,0.563594,1.893157,-0.112070,0.960175,1.045999,1.360742,0.724609,1.859568,0.360527,0.841747
28,0.563258,1.999751,-0.020003,0.937503,0.889782,2.551095,0.789693,2.080299,0.392681,0.992992
29,0.376277,2.210364,-0.118541,0.828109,-1.063451,1.808775,0.403688,2.096265,-0.078635,0.900637
30,0.363937,2.254843,-0.164794,0.716859,0.797552,2.734050,0.486077,2.309380,0.021435,1.037074
31,0.389270,2.137876,0.062540,0.731557,0.659074,1.388728,0.526599,2.182988,0.064002,0.781863
32,0.394380,2.252367,0.048451,0.818773,1.044552,1.580605,0.647900,2.108310,0.191469,0.612282
33,0.484237,2.373678,0.047981,0.661692,1.224161,2.572066,0.792179,2.259949,0.330300,0.712591
34,0.310710,2.415534,0.080703,0.712349,0.246907,2.586330,0.695319,2.388510,0.186183,0.776169
35,0.530669,2.641423,-0.014249,0.652659,0.475067,1.766888,0.660286,2.309074,0.126654,0.601913
36,0.395103,2.544519,-0.129021,0.791620,-0.032517,2.030988,0.514499,2.293286,-0.049151,0.517613
37,0.470485,2.578751,-0.087157,0.718802,-0.430459,2.812609,0.298447,2.450064,-0.283402,0.634125
38,0.306626,2.599582,-0.160452,0.738336,0.028654,2.535714,0.215877,2.518471,-0.343566,0.639667
39,0.134525,2.873450,-0.280465,0.858474,0.209442,2.943904,0.187791,2.663622,-0.336609,0.729730
40,0.141921,2.771266,-0.183826,0.807380,0.747120,2.695648,0.287311,2.727398,-0.188869,0.719528
41,0.086086,2.722883,-0.260377,0.849611,-0.567871,1.727583,0.080603,2.558646,-0.397216,0.452518
42,-0.025707,2.891844,-0.082248,0.781870,-0.800121,2.720280,-0.147993,2.630035,-0.606725,0.481510
43,-0.015546,3.027821,0.131217,0.804555,0.812185,2.796358,0.020595,2.704725,-0.352424,0.510948
44,0.006232,3.048988,0.063216,0.778214,-0.134095,2.747000,-0.041472,2.753839,-0.382178,0.508751
45,-0.042371,3.236489,0.274527,0.728373,-0.204569,3.498794,-0.107734,2.960583,-0.413284,0.681639
46,0.303785,3.317743,0.371791,0.882821,0.475819,3.780859,-0.008736,3.197645,-0.257636,0.868979
47,0.401748,3.509276,0.268350,0.903249,0.642357,3.742805,0.117498,3.387452,-0.089045,0.983122
48,0.542284,3.644290,0.153856,0.962381,0.100745,3.294601,0.106831,3.442836,-0.091000,0.935508
49,0.515819,3.729386,-0.000517,1.074070,-0.061939,4.514442,0.061876,3.756018,-0.130769,1.179116
50,0.413272,3.964986,0.096641,0.902428,-0.108208,4.628221,0.013541,4.043312,-0.169875,1.366989
51,0.467801,4.047355,-0.125035,1.041384,1.403013,4.891364,0.312383,4.339749,0.180433,1.544166
52,0.393773,4.189774,-0.075821,0.888639,0.484019,4.725294,0.364917,4.546067,0.218688,1.601734
53,0.462639,4.167521,-0.162083,0.967699,0.779065,3.040442,0.474874,4.332177,0.316393,1.186833
54,0.200771,4.256638,-0.221048,0.937868,-0.004874,4.748649,0.391679,4.517730,0.189022,1.261004
55,0.189023,4.377188,-0.355279,0.601459,0.750794,5.448791,0.486978,4.824588,0.273759,1.461495
56,0.119237,4.462265,-0.322827,0.768988,0.563729,4.710298,0.525441,4.912255,0.286057,1.396627
57,0.092511,4.545188,-0.466774,0.730639,0.535612,4.428336,0.549907,4.911889,0.281465,1.241312
58,0.050269,4.500639,-0.422223,0.584464,0.195210,4.407026,0.492084,4.894777,0.186111,1.084648
59,-0.166282,4.666033,-0.438609,0.770542,0.572844,4.226299,0.524651,4.828776,0.201590,0.891136
60,-0.289315,4.625889,-0.597256,0.728324,0.432559,3.668436,0.519604,4.637320,0.173632,0.579934
61,-0.263846,4.775556,-0.541786,0.801641,-0.815957,5.156342,0.233162,4.798839,-0.163341,0.694763
62,-0.372951,4.609800,-0.536045,0.717230,0.306458,4.466627,0.236955,4.778115,-0.141017,0.594714
63,-0.421994,4.720441,-0.562785,0.706846,-0.000207,4.187281,0.172764,4.691557,-0.196574,0.432743
64,-0.548454,4.694415,-0.419110,0.636676,-0.620096,4.394113,-0.020519,4.658322,-0.389156,0.347880
65,-0.621183,4.684340,-0.372837,0.532591,-1.297408,4.405130,-0.337427,4.628443,-0.697497,0.276153
66,-0.738290,4.603814,-0.405175,0.366580,0.125584,3.857514,-0.287543,4.476742,-0.564803,0.077260
67,-0.843438,4.600117,-0.236706,0.193548,-0.772413,5.118696,-0.440220,4.626886,-0.671502,0.235227
68,-0.898083,4.502490,-0.247505,0.346258,-1.205976,5.220582,-0.664245,4.778443,-0.845503,0.377240
69,-0.896966,4.660367,-0.225636,0.297821,-0.077536,4.772985,-0.598061,4.806471,-0.678313,0.366484
70,-0.902887,4.770905,-0.133221,0.379106,-1.578248,4.452287,-0.870766,4.755356,-0.905553,0.269140
71,-0.981862,4.730907,-0.220431,0.312004,-0.813888,4.978112,-0.928214,4.826247,-0.868832,0.317918
72,-1.004069,4.719505,-0.092885,0.302847,-0.535533,4.434841,-0.907409,4.763008,-0.749387,0.212512
73,-0.971986,4.883998,-0.353764,0.237339,-0.675115,5.490406,-0.913357,4.942827,-0.672864,0.388392
74,-0.987051,4.912689,-0.192706,0.364738,-1.421342,4.970895,-1.079604,4.979248,-0.782629,0.385709
75,-0.970305,5.121023,-0.106099,0.354380,-0.860268,4.179081,-1.091040,4.829477,-0.708506,0.176805
76,-0.884052,5.221034,0.015117,0.339975,-0.820031,4.980365,-1.085125,4.877070,-0.623359,0.209983
77,-0.997346,5.194806,-0.166813,0.431436,-2.084787,6.210878,-1.357941,5.192865,-0.856819,0.536964
78,-1.190440,5.387939,-0.257619,0.487539,-1.566663,6.224813,-1.471252,5.466231,-0.887464,0.780617
79,-1.211831,5.544061,-0.250014,0.522835,-0.903778,5.279699,-1.412641,5.484877,-0.724019,0.714714
80,-1.364862,5.466184,-0.244930,0.473971,-2.437790,5.722655,-1.698987,5.593693,-0.961320,0.756136
81,-1.511204,5.397549,-0.249092,0.383960,-1.449951,6.384279,-1.717610,5.829857,-0.875349,0.934214
82,-1.574019,5.329987,-0.230942,0.306437,-1.562143,5.487805,-1.750578,5.825491,-0.814825,0.825751
83,-1.600633,5.366286,-0.211733,0.466148,-1.727092,5.430003,-1.808489,5.800715,-0.788680,0.706680
84,-1.535121,5.460005,-0.247554,0.556334,-1.970744,5.346630,-1.906082,5.753548,-0.809450,0.575980
85,-1.636985,5.573256,-0.128594,0.578668,-1.599352,5.135751,-1.899973,5.659483,-0.712891,0.407759
86,-1.720099,5.511796,-0.346262,0.539564,-1.869152,6.598218,-1.948333,5.901899,-0.687459,0.631414
87,-1.598444,5.621317,-0.137814,0.678655,-2.602228,6.155045,-2.148477,6.007707,-0.833202,0.678738
88,-1.541080,5.660245,-0.279334,0.738195,-2.580644,5.649507,-2.310132,5.979904,-0.920089,0.572616
89,-1.630723,5.608180,-0.160454,0.734064,-1.543740,6.062116,-2.209383,6.042768,-0.706287,0.578830
90,-1.647647,5.726727,-0.078869,0.790740,-1.504657,6.618284,-2.105903,6.216888,-0.513170,0.707757
91,-1.531337,5.797225,-0.169838,0.854602,-1.423407,6.651723,-1.992439,6.369414,-0.330400,0.798433
92,-1.449572,5.959106,-0.168543,0.767032,-1.548553,6.197520,-1.918383,6.392729,-0.211612,0.735733
93,-1.639384,6.159980,0.038161,0.572538,-2.339492,6.274811,-2.029354,6.423302,-0.311226,0.688038
